datetime,prosumption,solar_irrad,panel_temp,ambient_temp,da,imb,imb_up,imb_down,da_fc,imb_fc,imb_up_fc,imb_down_fc
2017-11-03 00:00:00+00:00,2.19,0.0,7.05,7.46,44.383875,39.163825,44.383875,39.163825,44.383875,45.693180103529535,45.693180103529535,44.383875
2017-11-03 01:00:00+00:00,2.01,0.0,7.7,7.14,40.5055,37.13548,40.5055,37.13548,40.5055,38.3214061236836,40.5055,38.3214061236836
2017-11-03 02:00:00+00:00,1.86,0.0,7.2,6.86,36.023625,35.330884999999995,36.023625,35.330884999999995,36.023625,35.57790221884137,36.023625,35.57790221884137
2017-11-03 03:00:00+00:00,1.72,0.0,7.97,6.6,37.204,36.04237,37.204,36.04237,37.204,36.46610572209551,37.204,36.46610572209551
2017-11-03 04:00:00+00:00,1.62,0.0,7.85,6.86,40.02625,36.400000000000006,40.02625,36.400000000000006,40.02625,39.953733357254734,40.02625,39.953733357254734
2017-11-03 05:00:00+00:00,1.69,0.0,8.26,6.67,47.4635,36.65003,47.4635,36.65003,47.4635,34.265078993683645,47.4635,34.265078993683645
2017-11-03 06:00:00+00:00,2.32,0.0,8.77,6.49,52.051875,36.12786,52.051875,36.12786,52.051875,44.74829981959981,52.051875,44.74829981959981
2017-11-03 07:00:00+00:00,3.33,5.69,6.84,6.16,55.548625,35.067725,55.548625,35.067725,55.548625,69.56443757317783,69.56443757317783,55.548625
2017-11-03 08:00:00+00:00,2.92,65.44,10.28,6.23,57.2615,35.094764999999995,57.2615,35.094764999999995,57.2615,38.53457086404782,57.2615,38.53457086404782
2017-11-03 09:00:00+00:00,3.0,131.19,13.99,8.46,55.07825,38.535305,55.07825,38.535305,55.07825,58.04144761932474,58.04144761932474,55.07825
2017-11-03 10:00:00+00:00,2.52,199.94,14.28,9.76,53.96,75.62328,75.62328,53.96,53.96,61.90139253278749,61.90139253278749,53.96
2017-11-03 11:00:00+00:00,2.54,267.38,16.2,11.39,52.034125,54.998235,54.998235,52.034125,52.034125,55.9650353351874,55.9650353351874,52.034125
2017-11-03 12:00:00+00:00,0.8900000000000001,306.88,23.37,12.84,46.034625,36.56994,46.034625,36.56994,46.034625,61.24366553111247,61.24366553111247,46.034625
2017-11-03 13:00:00+00:00,1.69,291.0,18.71,13.88,50.03725,35.29856,50.03725,35.29856,50.03725,41.30959644841067,50.03725,41.30959644841067
2017-11-03 14:00:00+00:00,0.9499999999999997,207.88,24.31,14.4,49.229625,38.4818,49.229625,38.4818,49.229625,51.22394810793342,51.22394810793342,49.229625
2017-11-03 15:00:00+00:00,1.87,101.91,20.54,14.15,52.034125,38.43104,52.034125,38.43104,52.034125,46.864814084601264,52.034125,46.864814084601264
2017-11-03 16:00:00+00:00,3.1599999999999997,24.93,13.63,13.06,58.0425,54.078590000000005,58.0425,54.078590000000005,58.0425,54.57038695362579,58.0425,54.57038695362579
2017-11-03 17:00:00+00:00,4.48,0.0,10.27,11.06,63.039125,38.83003,63.039125,38.83003,63.039125,65.77367842051794,65.77367842051794,63.039125
2017-11-03 18:00:00+00:00,4.51,0.0,9.73,10.38,60.47425,37.062325,60.47425,37.062325,60.47425,68.75975711767805,68.75975711767805,60.47425
2017-11-03 19:00:00+00:00,4.2,0.0,10.01,10.02,53.8535,38.857355,53.8535,38.857355,53.8535,47.02963274937707,53.8535,47.02963274937707
2017-11-03 20:00:00+00:00,3.75,0.0,10.58,10.13,45.44,46.30444,46.30444,45.44,45.44,70.12118144903124,70.12118144903124,45.44
2017-11-03 21:00:00+00:00,3.32,0.0,11.15,10.44,45.803875,33.95917,45.803875,33.95917,45.803875,38.73326642658168,45.803875,38.73326642658168
2017-11-03 22:00:00+00:00,2.8,0.0,11.48,10.53,44.03775,36.752775,44.03775,36.752775,44.03775,43.998861227390094,44.03775,43.998861227390094
2017-11-03 23:00:00+00:00,2.29,0.0,12.47,10.59,49.140875,38.608975,49.140875,38.608975,49.140875,48.394723528548845,49.140875,48.394723528548845
2017-11-04 00:00:00+00:00,2.33,0.0,12.59,10.79,45.9015,46.820105,46.820105,45.9015,45.9015,50.22019046645254,50.22019046645254,45.9015
2017-11-04 01:00:00+00:00,2.03,0.0,12.5,10.88,41.916625,38.63,41.916625,38.63,41.916625,46.71445770431043,46.71445770431043,41.916625
2017-11-04 02:00:00+00:00,1.85,0.0,12.17,10.82,39.91975,43.993355,43.993355,39.91975,39.91975,50.85763955141533,50.85763955141533,39.91975
2017-11-04 03:00:00+00:00,1.67,0.0,11.22,10.88,38.970125,52.948025,52.948025,38.970125,38.970125,38.17207573309092,38.970125,38.17207573309092
2017-11-04 04:00:00+00:00,1.61,0.0,10.57,11.41,38.916875,30.371070000000003,38.916875,30.371070000000003,38.916875,44.58997301072476,44.58997301072476,38.916875
2017-11-04 05:00:00+00:00,1.61,0.0,10.75,11.78,38.92575,27.395035,38.92575,27.395035,38.92575,44.389733267468806,44.389733267468806,38.92575
2017-11-04 06:00:00+00:00,1.93,0.0,9.68,11.3,39.05,29.987095,39.05,29.987095,39.05,43.26264519826908,43.26264519826908,39.05
2017-11-04 07:00:00+00:00,2.39,3.19,9.9,10.37,39.839875,46.106595,46.106595,39.839875,39.839875,35.25751507900325,39.839875,35.25751507900325
2017-11-04 08:00:00+00:00,3.03,54.89,9.61,9.64,54.412625,62.78958,62.78958,54.412625,54.412625,58.28189460040224,58.28189460040224,54.412625
2017-11-04 09:00:00+00:00,2.87,128.62,11.87,9.48,58.885625,61.275,61.275,58.885625,58.885625,62.821109474886406,62.821109474886406,58.885625
2017-11-04 10:00:00+00:00,2.29,181.62,15.53,9.64,55.89475,36.674655,55.89475,36.674655,55.89475,63.1129357780184,63.1129357780184,55.89475
2017-11-04 11:00:00+00:00,2.3899999999999997,223.62,12.9,9.74,43.318875,35.674235,43.318875,35.674235,43.318875,52.33970480340522,52.33970480340522,43.318875
2017-11-04 12:00:00+00:00,0.6499999999999999,249.88,16.6,10.01,40.80725,35.16711,40.80725,35.16711,40.80725,43.58797246241921,43.58797246241921,40.80725
2017-11-04 13:00:00+00:00,1.0900000000000003,263.88,16.17,10.29,39.91975,35.191575,39.91975,35.191575,39.91975,31.21535683316867,39.91975,31.21535683316867
2017-11-04 14:00:00+00:00,0.99,193.56,14.5,10.29,39.70675,35.2,39.70675,35.2,39.70675,54.25584297853792,54.25584297853792,39.70675
2017-11-04 15:00:00+00:00,2.36,111.97,13.15,9.86,39.005625,35.7,39.005625,35.7,39.005625,39.01170256198325,39.01170256198325,39.005625
2017-11-04 16:00:00+00:00,3.13,25.61,10.87,9.23,46.407375,58.21,58.21,46.407375,46.407375,38.518729037984535,46.407375,38.518729037984535
2017-11-04 17:00:00+00:00,4.52,0.0,6.48,8.2,84.82725,79.762765,84.82725,79.762765,84.82725,90.5100170012598,90.5100170012598,84.82725
2017-11-04 18:00:00+00:00,4.56,0.0,4.53,7.63,66.482625,37.243,66.482625,37.243,66.482625,59.559315594146,66.482625,59.559315594146
2017-11-04 19:00:00+00:00,4.03,0.0,5.02,7.64,47.845125,36.05,47.845125,36.05,47.845125,55.193401719589865,55.193401719589865,47.845125
2017-11-04 20:00:00+00:00,3.62,0.0,4.22,7.78,41.685875,35.5329,41.685875,35.5329,41.685875,42.73245510053556,42.73245510053556,41.685875
2017-11-04 21:00:00+00:00,3.25,0.0,4.47,7.82,42.01425,35.07002,42.01425,35.07002,42.01425,37.81338160616803,42.01425,37.81338160616803
2017-11-04 22:00:00+00:00,2.86,0.0,4.64,7.85,39.91975,34.694289999999995,39.91975,34.694289999999995,39.91975,42.36671373399528,42.36671373399528,39.91975
2017-11-04 23:00:00+00:00,2.27,0.0,3.85,7.53,44.845375,33.35486,44.845375,33.35486,44.845375,44.52060382747735,44.845375,44.52060382747735
2017-11-05 00:00:00+00:00,2.37,0.0,4.19,7.03,43.691625,28.609895,43.691625,28.609895,43.691625,48.90948600793242,48.90948600793242,43.691625
2017-11-05 01:00:00+00:00,2.1,0.0,3.77,6.59,46.931,36.385000000000005,46.931,36.385000000000005,46.931,42.04940832019264,46.931,42.04940832019264
2017-11-05 02:00:00+00:00,1.97,0.0,4.41,6.14,40.674125,29.77068,40.674125,29.77068,40.674125,48.30237981421844,48.30237981421844,40.674125
2017-11-05 03:00:00+00:00,1.81,0.0,4.56,6.01,37.914,29.975,37.914,29.975,37.914,40.71892737630543,40.71892737630543,37.914
2017-11-05 04:00:00+00:00,1.74,0.0,3.51,6.05,28.586375,25.0,28.586375,25.0,28.586375,28.89966748291305,28.89966748291305,28.586375
2017-11-05 05:00:00+00:00,1.68,0.0,3.46,6.1,24.1045,26.44639,26.44639,24.1045,24.1045,7.851289680070899,24.1045,7.851289680070899
2017-11-05 06:00:00+00:00,1.88,0.0,2.46,6.31,35.58875,36.24,36.24,35.58875,35.58875,44.25908197071667,44.25908197071667,35.58875
2017-11-05 07:00:00+00:00,2.14,3.15,4.36,6.62,29.16325,31.079415,31.079415,29.16325,29.16325,22.84604106622532,29.16325,22.84604106622532
2017-11-05 08:00:00+00:00,2.7600000000000002,41.03,4.68,7.02,37.922875,34.657805,37.922875,34.657805,37.922875,29.360436155295638,37.922875,29.360436155295638
2017-11-05 09:00:00+00:00,2.04,110.44,8.38,7.71,39.95525,34.135000000000005,39.95525,34.135000000000005,39.95525,39.70605564518275,39.95525,39.70605564518275
2017-11-05 10:00:00+00:00,1.15,193.69,14.31,8.12,42.316,34.907465,42.316,34.907465,42.316,47.540971070181286,47.540971070181286,42.316
2017-11-05 11:00:00+00:00,1.15,236.94,16.47,8.42,42.316,34.995155,42.316,34.995155,42.316,42.34917687210942,42.34917687210942,42.316
2017-11-05 12:00:00+00:00,0.56,236.62,18.38,8.73,46.41625,35.194424999999995,46.41625,35.194424999999995,46.41625,47.12403724831218,47.12403724831218,46.41625
2017-11-05 13:00:00+00:00,0.9700000000000002,221.75,16.68,8.9,46.718,47.45531,47.45531,46.718,46.718,39.96257558599858,46.718,39.96257558599858
2017-11-05 14:00:00+00:00,1.37,185.25,18.26,8.97,54.643375,36.04770499999999,54.643375,36.04770499999999,54.643375,58.9821448649935,58.9821448649935,54.643375
2017-11-05 15:00:00+00:00,2.67,113.5,11.45,8.91,40.967,34.964965,40.967,34.964965,40.967,43.03887573962811,43.03887573962811,40.967
2017-11-05 16:00:00+00:00,3.92,28.24,9.21,8.52,49.371625,37.925,49.371625,37.925,49.371625,46.24050123279952,49.371625,46.24050123279952
2017-11-05 17:00:00+00:00,5.0,0.0,5.93,7.58,79.866125,69.04535,79.866125,69.04535,79.866125,68.32100617838118,79.866125,68.32100617838118
2017-11-05 18:00:00+00:00,4.67,0.0,5.45,7.11,65.6395,37.978925,65.6395,37.978925,65.6395,60.30523678591306,65.6395,60.30523678591306
2017-11-05 19:00:00+00:00,4.17,0.0,4.89,6.79,55.335625,35.732835,55.335625,35.732835,55.335625,54.81114480826455,55.335625,54.81114480826455
2017-11-05 20:00:00+00:00,3.66,0.0,2.69,6.5,45.590875,38.33513,45.590875,38.33513,45.590875,41.2826630663593,45.590875,41.2826630663593
2017-11-05 21:00:00+00:00,3.36,0.0,2.11,6.1,44.872,49.33127,49.33127,44.872,44.872,51.90992051581638,51.90992051581638,44.872
2017-11-05 22:00:00+00:00,2.86,0.0,1.13,5.68,40.496625,38.17615,40.496625,38.17615,40.496625,44.4211072721103,44.4211072721103,40.496625
2017-11-05 23:00:00+00:00,2.25,0.0,0.32,5.29,40.94925,35.447125,40.94925,35.447125,40.94925,39.80394841525806,40.94925,39.80394841525806
2017-11-06 00:00:00+00:00,2.32,0.0,1.61,5.14,40.649756,28.51667,40.649756,28.51667,40.649756,42.63088530668467,42.63088530668467,40.649756
2017-11-06 01:00:00+00:00,2.04,0.0,2.76,4.96,40.464704,31.150795,40.464704,31.150795,40.464704,37.58529785293957,40.464704,37.58529785293957
2017-11-06 02:00:00+00:00,1.91,0.0,2.13,5.1,39.689248,35.92375,39.689248,35.92375,39.689248,43.85706514590455,43.85706514590455,39.689248
2017-11-06 03:00:00+00:00,1.85,0.0,0.67,5.27,37.424564,36.27,37.424564,36.27,37.424564,42.03599050442902,42.03599050442902,37.424564
2017-11-06 04:00:00+00:00,1.76,0.0,0.24,5.87,37.05446,36.795,37.05446,36.795,37.05446,36.7565168000916,37.05446,36.7565168000916
2017-11-06 05:00:00+00:00,1.88,0.0,0.86,5.78,44.262676,60.936775,60.936775,44.262676,44.262676,44.745105774137954,44.745105774137954,44.262676
2017-11-06 06:00:00+00:00,1.88,0.0,-0.11,5.82,55.709464,59.45687,59.45687,55.709464,55.709464,64.46066334082838,64.46066334082838,55.709464
2017-11-06 07:00:00+00:00,3.39,4.23,-0.24,5.85,59.807044,52.025,59.807044,52.025,59.807044,62.33223692757036,62.33223692757036,59.807044
2017-11-06 08:00:00+00:00,3.2800000000000002,80.03,1.68,5.68,59.366444,37.3,59.366444,37.3,59.366444,62.590193684564426,62.590193684564426,59.366444
2017-11-06 09:00:00+00:00,2.22,181.31,12.25,7.14,51.453268,35.47698,51.453268,35.47698,51.453268,48.06933839515035,51.453268,48.06933839515035
2017-11-06 10:00:00+00:00,1.1,246.88,22.75,9.1,42.218292,34.65697,42.218292,34.65697,42.218292,41.48290249143594,42.218292,41.48290249143594
2017-11-06 11:00:00+00:00,1.99,273.75,20.95,10.12,39.186964,25.0,39.186964,25.0,39.186964,40.45400050521367,40.45400050521367,39.186964
2017-11-06 12:00:00+00:00,3.08,214.62,12.87,10.56,39.706872,30.125,39.706872,30.125,39.706872,40.532851048810585,40.532851048810585,39.706872
2017-11-06 13:00:00+00:00,1.71,164.88,16.43,10.54,39.715684,41.01,41.01,39.715684,39.715684,42.47890221136236,42.47890221136236,39.715684
2017-11-06 14:00:00+00:00,2.66,114.53,14.77,10.45,41.046296,36.55,41.046296,36.55,41.046296,39.48732158144144,41.046296,39.48732158144144
2017-11-06 15:00:00+00:00,3.1100000000000003,70.72,11.57,10.27,39.883112,36.73,39.883112,36.73,39.883112,40.35815043437931,40.35815043437931,39.883112
2017-11-06 16:00:00+00:00,4.09,19.02,10.14,9.85,64.406908,46.887820000000005,64.406908,46.887820000000005,64.406908,69.90215485497505,69.90215485497505,64.406908
2017-11-06 17:00:00+00:00,5.09,0.0,9.92,8.9,81.528624,37.51364,81.528624,37.51364,81.528624,70.38108508939948,81.528624,70.38108508939948
2017-11-06 18:00:00+00:00,5.07,0.0,10.09,8.77,58.397124,30.865,58.397124,30.865,58.397124,58.5514159246284,58.5514159246284,58.397124
2017-11-06 19:00:00+00:00,4.53,0.0,9.75,8.92,64.442156,36.908615,64.442156,36.908615,64.442156,64.27206871341274,64.442156,64.27206871341274
2017-11-06 20:00:00+00:00,4.12,0.0,9.73,9.17,43.434348,36.913655,43.434348,36.913655,43.434348,39.72095241937501,43.434348,39.72095241937501
2017-11-06 21:00:00+00:00,3.55,0.0,9.98,9.29,40.244404,36.705605000000006,40.244404,36.705605000000006,40.244404,42.50495266327767,42.50495266327767,40.244404
2017-11-06 22:00:00+00:00,2.94,0.0,9.98,9.42,33.653028,35.51,35.51,33.653028,33.653028,40.169172452296266,40.169172452296266,33.653028
2017-11-06 23:00:00+00:00,2.26,0.0,10.1,9.77,45.099816,36.03,45.099816,36.03,45.099816,42.20231360498428,45.099816,42.20231360498428
2017-11-07 00:00:00+00:00,2.3,0.0,9.99,9.96,43.738684,34.370000000000005,43.738684,34.370000000000005,43.738684,41.06244906832526,43.738684,41.06244906832526
2017-11-07 01:00:00+00:00,2.03,0.0,10.24,10.18,41.794547,40.475,41.794547,40.475,41.794547,38.184683239977694,41.794547,38.184683239977694
2017-11-07 02:00:00+00:00,1.96,0.0,9.9,10.27,40.809283,40.14,40.809283,40.14,40.809283,51.51173373712553,51.51173373712553,40.809283
2017-11-07 03:00:00+00:00,1.8,0.0,10.59,10.19,38.7068,46.74,46.74,38.7068,38.7068,34.23342549777258,38.7068,34.23342549777258
2017-11-07 04:00:00+00:00,1.74,0.0,9.86,10.14,42.13763,53.26301,53.26301,42.13763,42.13763,42.73272233176865,42.73272233176865,42.13763
2017-11-07 05:00:00+00:00,1.81,0.0,10.27,10.26,45.779588,45.19213,45.779588,45.19213,45.779588,44.916468113892606,45.779588,44.916468113892606
2017-11-07 06:00:00+00:00,2.42,0.0,10.18,10.43,52.746812,53.75,53.75,52.746812,52.746812,54.0228321427344,54.0228321427344,52.746812
2017-11-07 07:00:00+00:00,3.47,2.23,10.67,10.51,43.052518,68.177735,68.177735,43.052518,43.052518,41.94924496471903,43.052518,41.94924496471903
2017-11-07 08:00:00+00:00,3.61,42.36,11.45,10.7,48.673801,66.4154,66.4154,48.673801,48.673801,46.232456471818764,48.673801,46.232456471818764
2017-11-07 09:00:00+00:00,3.43,86.09,10.79,11.01,49.315982,37.50954,49.315982,37.50954,49.315982,50.11783136478398,50.11783136478398,49.315982
2017-11-07 10:00:00+00:00,3.21,88.25,10.22,10.72,44.565602,40.0,44.565602,40.0,44.565602,41.06939526082456,44.565602,41.06939526082456
2017-11-07 11:00:00+00:00,3.17,124.25,9.23,9.73,47.292672,63.11687,63.11687,47.292672,47.292672,28.808507894782604,47.292672,28.808507894782604
2017-11-07 12:00:00+00:00,3.36,119.34,8.35,8.61,51.233728,62.36282,62.36282,51.233728,51.233728,55.37944399167173,55.37944399167173,51.233728
2017-11-07 13:00:00+00:00,3.2,111.75,7.45,8.06,51.664781,62.0,62.0,51.664781,51.664781,55.3896115769495,55.3896115769495,51.664781
2017-11-07 14:00:00+00:00,3.1599999999999997,143.81,7.44,8.28,50.257261,65.355615,65.355615,50.257261,50.257261,52.95410128805517,52.95410128805517,50.257261
2017-11-07 15:00:00+00:00,1.6199999999999999,93.59,15.13,8.54,41.231539,37.725,41.231539,37.725,41.231539,39.020441433654106,41.231539,39.020441433654106
2017-11-07 16:00:00+00:00,3.62,28.18,8.02,8.32,62.590655,78.822835,78.822835,62.590655,62.590655,60.15878829647948,62.590655,60.15878829647948
2017-11-07 17:00:00+00:00,5.01,0.0,5.49,7.1,78.970669,117.78,117.78,78.970669,78.970669,86.83664512285,86.83664512285,78.970669
2017-11-07 18:00:00+00:00,5.09,0.0,4.86,6.74,69.707428,78.390425,78.390425,69.707428,69.707428,70.27328938126476,70.27328938126476,69.707428
2017-11-07 19:00:00+00:00,4.64,0.0,4.23,6.63,61.22712,40.049915,61.22712,40.049915,61.22712,62.94857095537468,62.94857095537468,61.22712
2017-11-07 20:00:00+00:00,4.2,0.0,2.9,6.35,46.439363,37.106315,46.439363,37.106315,46.439363,51.115543116721575,51.115543116721575,46.439363
2017-11-07 21:00:00+00:00,3.71,0.0,2.07,5.9,52.051849,38.05322,52.051849,38.05322,52.051849,45.38995271703659,52.051849,45.38995271703659
2017-11-07 22:00:00+00:00,3.13,0.0,0.82,5.41,41.3459,37.7273,41.3459,37.7273,41.3459,26.03694730811197,41.3459,26.03694730811197
2017-11-07 23:00:00+00:00,2.3,0.0,0.73,5.07,43.290037,38.52032,43.290037,38.52032,43.290037,38.31201381051955,43.290037,38.31201381051955
2017-11-08 00:00:00+00:00,2.43,0.0,0.87,4.88,44.01822,39.022665,44.01822,39.022665,44.01822,47.25737891783085,47.25737891783085,44.01822
2017-11-08 01:00:00+00:00,2.15,0.0,-0.05,4.72,43.019413,38.5,43.019413,38.5,43.019413,25.064520437856046,43.019413,25.064520437856046
2017-11-08 02:00:00+00:00,2.03,0.0,0.9,4.51,42.409522,38.5,42.409522,38.5,42.409522,22.02367030382192,42.409522,22.02367030382192
2017-11-08 03:00:00+00:00,1.88,0.0,0.44,4.34,41.843826,46.075,46.075,41.843826,41.843826,41.83644335342042,41.843826,41.83644335342042
2017-11-08 04:00:00+00:00,1.85,0.0,2.0,4.23,42.763082,60.25,60.25,42.763082,42.763082,43.59037751967527,43.59037751967527,42.763082
2017-11-08 05:00:00+00:00,1.88,0.0,0.5,4.13,43.638143,38.892045,43.638143,38.892045,43.638143,34.88189497391152,43.638143,34.88189497391152
2017-11-08 06:00:00+00:00,2.55,0.0,-0.02,3.95,52.026354,51.36057,52.026354,51.36057,52.026354,39.27232895131998,52.026354,39.27232895131998
2017-11-08 07:00:00+00:00,3.5300000000000002,3.33,0.24,3.71,50.11713,38.222105,50.11713,38.222105,50.11713,51.20399713445415,51.20399713445415,50.11713
2017-11-08 08:00:00+00:00,3.46,84.28,0.66,3.53,59.247817,37.3864,59.247817,37.3864,59.247817,70.47581501022594,70.47581501022594,59.247817
2017-11-08 09:00:00+00:00,2.3200000000000003,205.62,7.85,5.88,63.234206,37.065835,63.234206,37.065835,63.234206,66.07142403559611,66.07142403559611,63.234206
2017-11-08 10:00:00+00:00,1.02,304.12,15.93,7.49,57.506534,32.6,57.506534,32.6,57.506534,61.02032333324413,61.02032333324413,57.506534
2017-11-08 11:00:00+00:00,1.4399999999999997,360.62,21.8,8.38,44.46017,50.08327,50.08327,44.46017,44.46017,43.406331120362445,44.46017,43.406331120362445
2017-11-08 12:00:00+00:00,1.8199999999999998,372.88,20.6,8.93,44.751857,62.74235,62.74235,44.751857,44.751857,56.32766475438079,56.32766475438079,44.751857
2017-11-08 13:00:00+00:00,1.7400000000000002,335.5,19.65,9.27,43.205032,38.625,43.205032,38.625,43.205032,28.020019277039104,43.205032,28.020019277039104
2017-11-08 14:00:00+00:00,1.6,219.44,18.58,9.35,43.169676,38.604915,43.169676,38.604915,43.169676,44.8036487296496,44.8036487296496,43.169676
2017-11-08 15:00:00+00:00,1.83,77.25,14.38,8.97,42.268098,38.89558,42.268098,38.89558,42.268098,51.24734217428062,51.24734217428062,42.268098
2017-11-08 16:00:00+00:00,3.6100000000000003,11.88,7.36,7.66,65.169947,66.39803,66.39803,65.169947,65.169947,61.27027209032918,65.169947,61.27027209032918
2017-11-08 17:00:00+00:00,4.95,0.0,4.17,6.48,80.231603,48.405785,80.231603,48.405785,80.231603,83.40655336667074,83.40655336667074,80.231603
2017-11-08 18:00:00+00:00,5.02,0.0,2.05,6.37,64.25953,38.78146,64.25953,38.78146,64.25953,62.44548179357943,64.25953,62.44548179357943
2017-11-08 19:00:00+00:00,4.61,0.0,2.62,6.28,56.348625,50.725,56.348625,50.725,56.348625,67.68940953386131,67.68940953386131,56.348625
2017-11-08 20:00:00+00:00,4.16,0.0,4.37,5.91,47.633371,65.51787,65.51787,47.633371,47.633371,54.49249783872349,54.49249783872349,47.633371
2017-11-08 21:00:00+00:00,3.68,0.0,4.93,5.92,50.11713,35.747240000000005,50.11713,35.747240000000005,50.11713,67.6165506807279,67.6165506807279,50.11713
2017-11-08 22:00:00+00:00,3.03,0.0,5.09,6.24,41.826148,38.155,41.826148,38.155,41.826148,36.41528674346815,41.826148,36.41528674346815
2017-11-08 23:00:00+00:00,2.32,0.0,5.24,6.7,51.204327,37.40548,51.204327,37.40548,51.204327,62.24323693008296,62.24323693008296,51.204327
2017-11-09 00:00:00+00:00,2.43,0.0,5.49,7.09,45.403312,42.55693,45.403312,42.55693,45.403312,41.00752205291042,45.403312,41.00752205291042
2017-11-09 01:00:00+00:00,2.14,0.0,5.54,7.92,43.632512,54.7689,54.7689,43.632512,43.632512,44.61206545019839,44.61206545019839,43.632512
2017-11-09 02:00:00+00:00,2.02,0.0,6.76,8.6,41.560676,53.24,53.24,41.560676,41.560676,42.71646095036639,42.71646095036639,41.560676
2017-11-09 03:00:00+00:00,1.87,0.0,6.45,8.99,40.63986,55.9,55.9,40.63986,40.63986,34.25346122012333,40.63986,34.25346122012333
2017-11-09 04:00:00+00:00,1.75,0.0,6.97,9.3,42.10077,39.83307,42.10077,39.83307,42.10077,41.78441082189726,42.10077,41.78441082189726
2017-11-09 05:00:00+00:00,1.83,0.0,9.15,9.6,45.987676,32.6,45.987676,32.6,45.987676,46.7548712848337,46.7548712848337,45.987676
2017-11-09 06:00:00+00:00,2.47,0.0,9.17,9.66,51.521426,33.45,51.521426,33.45,51.521426,58.567626378422666,58.567626378422666,51.521426
2017-11-09 07:00:00+00:00,3.42,1.46,7.98,9.69,44.44708,33.45,44.44708,33.45,44.44708,32.92484962609065,44.44708,32.92484962609065
2017-11-09 08:00:00+00:00,3.6,23.54,7.72,10.17,45.969968,37.2,45.969968,37.2,45.969968,54.2465779728927,54.2465779728927,45.969968
2017-11-09 09:00:00+00:00,2.7800000000000002,57.56,11.32,11.21,51.078726,41.04659,51.078726,41.04659,51.078726,45.79998316580265,51.078726,45.79998316580265
2017-11-09 10:00:00+00:00,2.5700000000000003,105.94,13.95,11.8,49.75948,47.1,49.75948,47.1,49.75948,54.92150876910033,54.92150876910033,49.75948
2017-11-09 11:00:00+00:00,2.69,151.19,15.99,12.38,51.193828,37.2,51.193828,37.2,51.193828,48.49036193722499,51.193828,48.49036193722499
2017-11-09 12:00:00+00:00,2.62,182.38,13.32,12.7,51.114142,38.2,51.114142,38.2,51.114142,53.14249191351609,53.14249191351609,51.114142
2017-11-09 13:00:00+00:00,2.73,168.44,15.73,12.75,49.077722,37.2,49.077722,37.2,49.077722,40.9659670124567,49.077722,40.9659670124567
2017-11-09 14:00:00+00:00,2.61,128.0,12.71,12.51,49.192824,37.2,49.192824,37.2,49.192824,57.85172133051725,57.85172133051725,49.192824
2017-11-09 15:00:00+00:00,2.79,60.33,12.32,11.98,43.809592,38.31,43.809592,38.31,43.809592,57.838083016578246,57.838083016578246,43.809592
2017-11-09 16:00:00+00:00,3.62,13.61,9.84,11.17,60.092098,25.957955,60.092098,25.957955,60.092098,65.87513890365763,65.87513890365763,60.092098
2017-11-09 17:00:00+00:00,4.85,0.0,9.71,10.04,85.689012,91.891675,91.891675,85.689012,85.689012,88.18845477832828,88.18845477832828,85.689012
2017-11-09 18:00:00+00:00,4.88,0.0,9.27,9.58,65.351374,97.79233,97.79233,65.351374,65.351374,58.45405651995497,65.351374,58.45405651995497
2017-11-09 19:00:00+00:00,4.51,0.0,7.39,9.17,56.00155,51.25299,56.00155,51.25299,56.00155,54.34718343586814,56.00155,54.34718343586814
2017-11-09 20:00:00+00:00,4.12,0.0,7.54,8.55,44.44708,37.232385,44.44708,37.232385,44.44708,41.18117715983999,44.44708,41.18117715983999
2017-11-09 21:00:00+00:00,3.6,0.0,7.02,8.02,48.573044,56.63375,56.63375,48.573044,48.573044,42.66947273783615,48.573044,42.66947273783615
2017-11-09 22:00:00+00:00,3.03,0.0,6.28,8.4,40.55132,39.705495,40.55132,39.705495,40.55132,37.25418398363838,40.55132,37.25418398363838
2017-11-09 23:00:00+00:00,2.32,0.0,6.63,8.94,60.07439,56.2,60.07439,56.2,60.07439,59.75756676648143,60.07439,59.75756676648143
2017-11-10 00:00:00+00:00,2.41,0.0,7.59,9.68,55.85112,55.9,55.9,55.85112,55.85112,45.68514911112005,55.85112,45.68514911112005
2017-11-10 01:00:00+00:00,2.11,0.0,9.55,10.3,50.08744,38.56676,50.08744,38.56676,50.08744,46.56199746437586,50.08744,46.56199746437586
2017-11-10 02:00:00+00:00,2.03,0.0,10.05,11.26,42.75024,37.5,42.75024,37.5,42.75024,47.09038889285548,47.09038889285548,42.75024
2017-11-10 03:00:00+00:00,1.89,0.0,9.75,11.47,37.14568,38.88,38.88,37.14568,37.14568,44.50383466159667,44.50383466159667,37.14568
2017-11-10 04:00:00+00:00,1.85,0.0,10.39,11.73,34.90916,36.505,36.505,34.90916,34.90916,37.77255231978982,37.77255231978982,34.90916
2017-11-10 05:00:00+00:00,1.83,0.0,10.86,11.88,36.60644,36.155,36.60644,36.155,36.60644,36.92392229571915,36.92392229571915,36.60644
2017-11-10 06:00:00+00:00,2.47,0.0,10.42,11.61,46.84316,54.22,54.22,46.84316,46.84316,37.00010448540677,46.84316,37.00010448540677
2017-11-10 07:00:00+00:00,3.43,1.04,10.43,11.02,50.37916,28.0,50.37916,28.0,50.37916,48.20472114512393,50.37916,48.20472114512393
